    INFO: 2024-03-26 09:13:54,342:               log.py:   20: Logging to /home/jupyter/GenAI5/ai_agents/mdpdf.log
   DEBUG: 2024-03-26 09:13:54,342:               cli.py:  103: story.md
    INFO: 2024-03-26 09:13:54,343:         converter.py:   14: story.md
   DEBUG: 2024-03-26 09:13:54,346:      pdf_renderer.py:  470: printSegment: Chapter 1: The Forest Friends
   DEBUG: 2024-03-26 09:13:54,349:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-03-26 09:13:54,351:      pdf_renderer.py:  470: printSegment: Image of Forest Friends
   DEBUG: 2024-03-26 09:13:54,351:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-03-26 09:13:54,417:      pdf_renderer.py:  470: printSegment: In the heart of the forest, where trees whispered secrets and sunlight danced through the canopy, the animal kingdom
   DEBUG: 2024-03-26 09:13:54,454:      pdf_renderer.py:  470: printSegment: gathered for an important meeting. Leo the Lion, the brave and respected leader, stood tall in the center. Zara the
   DEBUG: 2024-03-26 09:13:54,472:      pdf_renderer.py:  470: printSegment: Zebra, with her playful spirit and lightning-fast speed, darted around the clearing. Sammy the Squirrel, agile and
   DEBUG: 2024-03-26 09:13:54,478:      pdf_renderer.py:  470: printSegment: cunning, swung from branch to branch overhead. They shared their concerns about the increasing presence of
   DEBUG: 2024-03-26 09:13:54,479:      pdf_renderer.py:  470: printSegment: humans in their habitat, threatening their safety and harmony.
   DEBUG: 2024-03-26 09:13:54,480:      pdf_renderer.py:  470: printSegment: Chapter 2: The River Adventure
   DEBUG: 2024-03-26 09:13:54,481:      pdf_renderer.py:  470: printSegment: [
   DEBUG: 2024-03-26 09:13:54,481:      pdf_renderer.py:  470: printSegment: Image of River Adventure
   DEBUG: 2024-03-26 09:13:54,482:      pdf_renderer.py:  470: printSegment: ]
   DEBUG: 2024-03-26 09:13:54,526:      pdf_renderer.py:  470: printSegment: To find a new home, the animals embarked on a journey down the flowing river. Emily the Elephant, wise and
